method,n_molecules,rank_by_reward,reward,nearest_neighbour_sim,mean_pct_library_above_tau,smiles
"BC-Enum-SB  λ=0",98,68,7.8492,0.8182,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2nc(-c3nc4ccccc4[nH]3)[nH]c2c1"
"BC-Enum-SB  λ=0",98,69,7.8855,0.8417,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)NC12CC(C1)C2"
"BC-Enum-SB  λ=0",98,70,7.7678,0.8729,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2nc(-c3ccc(F)cc3)[nH]c2c1"
"BC-Enum-SB  λ=0",98,71,8.2024,0.9068,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2nc(C3CCN3)[nH]c2c1"
"BC-Enum-SB  λ=0",98,72,8.2379,0.9068,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2[nH]c(C3CCN3)nc2c1"
"BC-Enum-SB  λ=0",98,73,7.7544,0.8938,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NC1CCNC1"
"BC-Enum-SB  λ=0",98,74,7.8796,0.9217,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)C1CCCN1"
"BC-Enum-SB  λ=0",98,75,7.8257,0.8264,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)NCc1ccccc1"
"BC-Enum-SB  λ=0",98,76,7.9299,0.8417,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NC(=O)NC12CC(C1)C2"
"BC-Enum-SB  λ=0",98,77,7.9069,0.8957,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)C1CCCNC1"
"BC-Enum-SB  λ=0",98,78,7.8816,0.8957,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NC(=O)C1CCCNC1"
"BC-Enum-SB  λ=0",98,79,8.0620,0.8462,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NCC1CCN1"
"BC-Enum-SB  λ=0",98,80,7.8794,0.9211,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NC(=O)C1CCCN1"
"BC-Enum-SB  λ=0",98,81,7.8080,0.8264,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)Nc1ccccc1"
"BC-Enum-SB  λ=0",98,82,7.8215,0.8250,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NC(=O)Nc1ccccc1"
"BC-Enum-SB  λ=0",98,83,7.9006,0.8870,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)C1CCNCC1"
"BC-Enum-SB  λ=0",98,84,7.8842,0.8870,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NC(=O)C1CCNCC1"
"BC-Enum-SB  λ=0",98,85,7.9931,0.8739,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2[nH]c(-c3ccccc3)nc2c1"
"BC-Enum-SB  λ=0",98,86,8.0366,0.8448,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NCC1CCN1"
"BC-Enum-SB  λ=0",98,87,7.9361,0.8729,94.0248,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)c1ccc2nc(-c3ccccc3)[nH]c2c1"
"BC-Enum-SB  λ=0",98,88,8.0148,0.8462,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NCC1CNC1"
"BC-Enum-SB  λ=0",98,89,8.0431,0.8220,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NC(=O)NC1CC1"
"BC-Enum-SB  λ=0",98,90,8.0684,0.8220,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)NC1CC1"
"BC-Enum-SB  λ=0",98,91,7.9563,0.8448,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NCC1CNC1"
"BC-Enum-SB  λ=0",98,92,7.7419,0.8938,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NC1CNC1"
"BC-Enum-SB  λ=0",98,93,8.0949,0.9217,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)C1CCN1"
"BC-Enum-SB  λ=0",98,94,8.0466,0.9211,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NC(=O)C1CCN1"
"BC-Enum-SB  λ=0",98,95,8.0484,0.8957,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1NC(=O)C1CNC1"
"BC-Enum-SB  λ=0",98,96,8.0980,0.8957,94.0248,"Nc1cc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)ccc1NC(=O)C1CNC1"
"BC-Enum-SB  λ=0",98,97,7.2251,0.7768,94.0248,"Nc1ccc(C(=O)NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1N"
"BC-Enum-SB  λ=1",96,0,7.5329,0.5714,7.1711,"c1ccc2c(c1)CNC(CNCc1cn(CC3CC3)c3ccccc13)C2"
"BC-Enum-SB  λ=1",96,1,7.6378,0.4778,7.1711,"c1ccc2c(c1)CCN=C2c1ccc(-c2nnn(CC3CC3)n2)nc1"
"BC-Enum-SB  λ=1",96,2,7.7266,0.6923,7.1711,"c1ccc2c(c1)CCN=C2c1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=1",96,3,8.1924,0.6296,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)C1CCCN(C(=O)NCc2cn(CC3CC3)c3ccccc23)C1"
"BC-Enum-SB  λ=1",96,4,7.7082,0.6923,7.1711,"c1ccc2c(c1)CCN=C2c1ccc2nc(C3CNC3)oc2c1"
"BC-Enum-SB  λ=1",96,5,7.6519,0.6709,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)C1Cc2ccccc2CN1"
"BC-Enum-SB  λ=1",96,6,7.8337,0.5974,7.1711,"c1cc(-c2nnn(CC3CC3)n2)ncc1CNC12CC(C1)C2"
"BC-Enum-SB  λ=1",96,7,7.5416,0.4778,7.1711,"c1ccc2oc(-c3ccc(-c4nnn(CC5CC5)n4)nc3)nc2c1"
"BC-Enum-SB  λ=1",96,8,7.3734,0.5495,7.1711,"c1cc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c2[nH]ccc2c1"
"BC-Enum-SB  λ=1",96,9,7.6668,0.8636,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)C1CCCN1"
"BC-Enum-SB  λ=1",96,10,8.0456,0.7031,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)NCc1cn(CC2CC2)c2ccccc12"
"BC-Enum-SB  λ=1",96,11,7.7577,0.6211,7.1711,"O=C(Nc1ccnc2ccccc12)c1ccc(-c2nnn(CC3CC3)n2)nc1"
"BC-Enum-SB  λ=1",96,12,7.6528,0.6542,7.1711,"O=C(c1ccc(-c2nnn(CC3CC3)n2)nc1)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=1",96,13,7.9599,0.8636,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)C1CCN1"
"BC-Enum-SB  λ=1",96,14,7.5284,0.6282,7.1711,"c1ccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)nc1"
"BC-Enum-SB  λ=1",96,15,7.7183,0.6211,7.1711,"c1ccc2c(NCc3ccc(-c4nnn(CC5CC5)n4)nc3)ccnc2c1"
"BC-Enum-SB  λ=1",96,16,7.1861,0.6282,7.1711,"Brc1ccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)cc1"
"BC-Enum-SB  λ=1",96,17,7.7197,0.7971,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)C1CCCNC1"
"BC-Enum-SB  λ=1",96,18,7.2505,0.5630,7.1711,"O=C(Nc1cccc2cc[nH]c12)c1ccc2nc(C3CNC3)oc2c1"
"BC-Enum-SB  λ=1",96,19,7.9224,0.6371,7.1711,"O=C1Cc2ccc(C(=O)Cn3cc(CNc4ccc(NCc5ccc(-c6nnn(CC7CC7)n6)nc5)cc4)c4ccccc43)cc2N1"
"BC-Enum-SB  λ=1",96,20,7.6354,0.6471,7.1711,"c1cc2nc(C3CNC3)oc2cc1CNC12CC(C1)C2"
"BC-Enum-SB  λ=1",96,21,7.7678,0.6471,7.1711,"c1cc2oc(C3CNC3)nc2cc1CNC12CC(C1)C2"
"BC-Enum-SB  λ=1",96,22,7.5970,0.5926,7.1711,"CC(NC(=O)c1ccc2nc(C3CNC3)oc2c1)c1ccccc1"
"BC-Enum-SB  λ=1",96,23,7.7159,0.6250,7.1711,"Brc1ccc(N(Cc2ccc3oc(C4CNC4)nc3c2)Cc2ccc3oc(C4CNC4)nc3c2)cc1"
"BC-Enum-SB  λ=1",96,24,7.5073,0.7176,7.1711,"O=C(Nc1ccnc2ccccc12)c1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=1",96,25,8.0852,0.7971,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)C1CNC1"
"BC-Enum-SB  λ=1",96,26,7.5218,0.7867,7.1711,"Brc1ccc(NCc2ccc3nc(C4CN(Cc5ccc6nc(C7CNC7)oc6c5)C4)oc3c2)cc1"
"BC-Enum-SB  λ=1",96,27,7.6304,0.7973,7.1711,"Brc1ccc(NCc2ccc3oc(C4CN(Cc5ccc6oc(C7CNC7)nc6c5)C4)nc3c2)cc1"
"BC-Enum-SB  λ=1",96,28,7.7768,0.7059,7.1711,"c1ccc2c(CN(c3ccc(NCc4ccc(-c5nnn(CC6CC6)n5)nc4)cc3)C3CCNC3)c[nH]c2c1"
"BC-Enum-SB  λ=1",96,29,7.0539,0.7867,7.1711,"Brc1ccc(NCc2ccc3nc(C4CNC4)oc3c2)cc1"
"BC-Enum-SB  λ=1",96,30,7.7929,0.5946,7.1711,"O=C(NC1CC1)c1ccc2nc(C3CNC3)oc2c1"
"BC-Enum-SB  λ=1",96,31,7.0686,0.7973,7.1711,"Brc1ccc(NCc2ccc3oc(C4CNC4)nc3c2)cc1"
"BC-Enum-SB  λ=1",96,32,7.5320,0.8118,7.1711,"O=C(c1ccc2oc(C3CNC3)nc2c1)N(Cc1ccc2oc(C3CNC3)nc2c1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=1",96,33,7.5486,0.7176,7.1711,"O=C(Nc1ccnc2ccccc12)c1ccc2nc(C3CNC3)oc2c1"
"BC-Enum-SB  λ=1",96,34,8.0425,0.6607,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)C1CCCN(C(=O)c2ccc(-c3nnn(CC4CC4)n3)nc2)C1"
"BC-Enum-SB  λ=1",96,35,7.4832,0.6591,7.1711,"c1ccc(CNCc2ccc3oc(C4CNC4)nc3c2)cc1"
"BC-Enum-SB  λ=1",96,36,7.6259,0.7976,7.1711,"O=C(c1ccc2nc(C3CNC3)oc2c1)N(Cc1ccc2nc(C3CNC3)oc2c1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=1",96,37,7.7548,0.6746,7.1711,"O=C(C1CCCNC1)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)c1ccc(NCc2c[nH]c3ccccc23)cc1"
"BC-Enum-SB  λ=1",96,38,7.8784,0.6261,7.1711,"O=C1Cc2ccc(C(=O)Cn3cc(CNC(=O)c4ccc5nc(C6CNC6)oc5c4)c4ccccc43)cc2N1"
"BC-Enum-SB  λ=1",96,39,7.6342,0.8118,7.1711,"O=C(c1ccc2oc(C3CNC3)nc2c1)N(Cc1ccc2nc(C3CNC3)oc2c1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=1",96,40,7.6159,0.7615,7.1711,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(C(=O)C4Cc5ccccc5CN4)C3)oc2c1"
"BC-Enum-SB  λ=1",96,41,7.9303,0.6043,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)c1cccc2cc[nH]c12"
"BC-Enum-SB  λ=1",96,42,8.0039,0.7170,7.1711,"c1ccc2c(CNc3ccc(N(Cc4ccc(-c5nnn(CC6CC6)n5)nc4)C4CNC4)cc3)c[nH]c2c1"
"BC-Enum-SB  λ=1",96,43,8.3259,0.6371,7.1711,"c1ccc2c(c1)c(CNc1ccc(NCc3ccc(-c4nnn(CC5CC5)n4)nc3)cc1)cn2CC1CC1"
"BC-Enum-SB  λ=1",96,44,7.7282,0.6444,7.1711,"O=C(Nc1cccc2cc[nH]c12)c1ccc2nc(C3CN(C(=O)NCc4cn(CC5CC5)c5ccccc45)C3)oc2c1"
"BC-Enum-SB  λ=1",96,45,7.9075,0.7391,7.1711,"c1ccc2c(CNc3ccc(NCc4ccc(-c5nnn(CC6CC6)n5)nc4)cc3)c[nH]c2c1"
"BC-Enum-SB  λ=1",96,46,7.6647,0.6800,7.1711,"O=C(NCc1ccccc1)c1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=1",96,47,7.8737,0.6733,7.1711,"c1ccc2c(CCN(Cc3ccc4oc(C5CNC5)nc4c3)Cc3ccc4oc(C5CNC5)nc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=1",96,48,7.5684,0.7391,7.1711,"c1ccc2c(CNCc3ccc(-c4nnn(CC5CC5)n4)nc3)c[nH]c2c1"
"BC-Enum-SB  λ=1",96,49,7.6828,0.6591,7.1711,"O=C(c1ccc2nc(C3CNC3)oc2c1)N1CC(c2nc3cc(CNCc4ccccc4)ccc3o2)C1"
"BC-Enum-SB  λ=1",96,50,7.5416,0.5789,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)N1CC(c2nc3ccc(CNc4ccc(Br)cc4)cc3o2)C1"
"BC-Enum-SB  λ=1",96,51,7.9059,0.6127,7.1711,"O=C(Nc1cccc2cc[nH]c12)c1ccc2nc(C3CN(Cc4ccc(-c5nnn(CC6CC6)n5)nc4)C3)oc2c1"
"BC-Enum-SB  λ=1",96,52,7.7079,0.7105,7.1711,"Brc1ccc(NCc2ccc3oc(C4CN(Cc5ccc(-c6nnn(CC7CC7)n6)nc5)C4)nc3c2)cc1"
"BC-Enum-SB  λ=1",96,53,7.6896,0.8269,7.1711,"O=C(c1ccc2oc(C3CNC3)nc2c1)N(CCc1c[nH]c2ccccc12)Cc1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=1",96,54,7.5947,0.7723,7.1711,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(C(=O)NC4CC4)C3)oc2c1"
"BC-Enum-SB  λ=1",96,55,8.0646,0.6639,7.1711,"c1cc(N(Cc2ccc(-c3nnn(CC4CC4)n3)nc2)Cc2ccc3oc(C4CNC4)nc3c2)c2[nH]ccc2c1"
"BC-Enum-SB  λ=1",96,56,7.2496,0.6452,7.1711,"c1ccc2c(CCNCc3ccc4oc(C5CNC5)nc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=1",96,57,7.9029,0.7105,7.1711,"c1ccc(CNCc2ccc3oc(C4CN(Cc5ccc(-c6nnn(CC7CC7)n6)nc5)C4)nc3c2)cc1"
"BC-Enum-SB  λ=1",96,58,7.7687,0.6526,7.1711,"O=C(NCc1c[nH]c2ccccc12)c1ccc(-c2nnn(CC3CC3)n2)nc1"
"BC-Enum-SB  λ=1",96,59,7.9118,0.6598,7.1711,"c1ccc2c(CN(Cc3ccc4oc(C5CNC5)nc4c3)Cc3ccc4nc(C5CNC5)oc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=1",96,60,8.2013,0.6607,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)c1ccc(-c2nnn(CC3CC3)n2)nc1"
"BC-Enum-SB  λ=1",96,61,7.6975,0.6800,7.1711,"O=C(NCc1ccccc1)c1ccc2nc(C3CNC3)oc2c1"
"BC-Enum-SB  λ=1",96,62,7.7529,0.6043,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)Cc1c[nH]c2ccccc12"
"BC-Enum-SB  λ=1",96,63,7.6713,0.8202,7.1711,"c1ccc2c(CNCc3ccc4nc(C5CN(Cc6ccc7nc(C8CNC8)oc7c6)C5)oc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=1",96,64,7.6537,0.7723,7.1711,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(C(=O)C4CCN4)C3)oc2c1"
"BC-Enum-SB  λ=1",96,65,8.1928,0.6748,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)C1CCCN(C(=O)c2ccc3nc(C4CNC4)oc3c2)C1"
"BC-Enum-SB  λ=1",96,66,8.0167,0.6850,7.1711,"O=C(c1ccc2nc(C3CNC3)oc2c1)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)c1cccc2cc[nH]c12"
"BC-Enum-SB  λ=1",96,67,7.3965,0.8202,7.1711,"c1ccc2c(CNCc3ccc4nc(C5CNC5)oc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=1",96,68,7.7885,0.8654,7.1711,"O=C(NCc1c[nH]c2ccccc12)c1ccc2oc(C3CN(C(=O)c4ccc5oc(C6CNC6)nc5c4)C3)nc2c1"
"BC-Enum-SB  λ=1",96,69,7.7260,0.8269,7.1711,"O=C(c1ccc2nc(C3CNC3)oc2c1)N(CCc1c[nH]c2ccccc12)Cc1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=1",96,70,8.1262,0.7982,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)C1CCCN(Cc2ccc3oc(C4CNC4)nc3c2)C1"
"BC-Enum-SB  λ=1",96,71,8.1392,0.7982,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)C1CCCN(Cc2ccc3nc(C4CNC4)oc3c2)C1"
"BC-Enum-SB  λ=1",96,72,7.6734,0.7526,7.1711,"O=C(c1ccc2nc(C3CNC3)oc2c1)N1CC(c2nc3ccc(CNCc4c[nH]c5ccccc45)cc3o2)C1"
"BC-Enum-SB  λ=1",96,73,7.9943,0.6754,7.1711,"c1ccc(CN(Cc2ccc(-c3nnn(CC4CC4)n3)nc2)Cc2ccc3oc(C4CNC4)nc3c2)cc1"
"BC-Enum-SB  λ=1",96,74,7.8187,0.6880,7.1711,"c1ccc2c(CCNCc3ccc4oc(C5CN(Cc6ccc(-c7nnn(CC8CC8)n7)nc6)C5)nc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=1",96,75,7.7803,0.7009,7.1711,"Brc1ccc(N(Cc2ccc(-c3nnn(CC4CC4)n3)nc2)Cc2ccc3oc(C4CNC4)nc3c2)cc1"
"BC-Enum-SB  λ=1",96,76,7.7899,0.6194,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)N(CCc1c[nH]c2ccccc12)Cc1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=1",96,77,7.7685,0.8654,7.1711,"O=C(NCc1c[nH]c2ccccc12)c1ccc2oc(C3CN(C(=O)c4ccc5nc(C6CNC6)oc5c4)C3)nc2c1"
"BC-Enum-SB  λ=1",96,78,7.7573,0.6194,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)N(Cc1ccc2oc(C3CNC3)nc2c1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=1",96,79,7.7226,0.7982,7.1711,"O=C(c1ccc2oc(C3CNC3)nc2c1)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=1",96,80,7.6581,0.8172,7.1711,"O=C(NCc1c[nH]c2ccccc12)c1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=1",96,81,7.8261,0.6780,7.1711,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(C(=O)NCc4cn(CC5CC5)c5ccccc45)C3)oc2c1"
"BC-Enum-SB  λ=1",96,82,7.9872,0.7419,7.1711,"c1ccc2c(c1)c(CNCc1ccc3oc(C4CNC4)nc3c1)cn2CC1CC1"
"BC-Enum-SB  λ=1",96,83,7.9461,0.7419,7.1711,"c1ccc2c(c1)c(CNCc1ccc3nc(C4CNC4)oc3c1)cn2CC1CC1"
"BC-Enum-SB  λ=1",96,84,7.6951,0.8053,7.1711,"O=C(c1ccc(-c2nnn(CC3CC3)n2)nc1)N(Cc1ccc2nc(C3CNC3)oc2c1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=1",96,85,7.6064,0.8053,7.1711,"O=C(c1ccc(-c2nnn(CC3CC3)n2)nc1)N(Cc1ccc2oc(C3CNC3)nc2c1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=1",96,86,7.7619,0.7982,7.1711,"O=C(c1ccc2nc(C3CNC3)oc2c1)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=1",96,87,7.8697,0.7385,7.1711,"c1ccc2c(CNCc3ccc4nc(C5CN(Cc6ccc(-c7nnn(CC8CC8)n7)nc6)C5)oc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=1",96,88,8.2280,0.7500,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)c1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=1",96,89,7.6512,0.7525,7.1711,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CNC3)oc2c1"
"BC-Enum-SB  λ=1",96,90,7.9080,0.7525,7.1711,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(Cc4ccc5oc(C6CNC6)nc5c4)C3)oc2c1"
"BC-Enum-SB  λ=1",96,91,7.8025,0.7829,7.1711,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(C(=O)c4ccc(-c5nnn(CC6CC6)n5)nc4)C3)oc2c1"
"BC-Enum-SB  λ=1",96,92,8.0081,0.6000,7.1711,"c1ccc2c(CN(Cc3ccc(-c4nnn(CC5CC5)n4)nc3)Cc3ccc4nc(C5CNC5)oc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=1",96,93,7.7756,0.6720,7.1711,"O=C(c1ccc(-c2nnn(CC3CC3)n2)nc1)N(CCc1c[nH]c2ccccc12)Cc1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=1",96,94,8.2715,0.7500,7.1711,"O=C(NCc1cn(CC2CC2)c2ccccc12)c1ccc2nc(C3CNC3)oc2c1"
"BC-Enum-SB  λ=1",96,95,8.0533,0.7829,7.1711,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(Cc4ccc(-c5nnn(CC6CC6)n5)nc4)C3)oc2c1"
"BC-Enum-SB  λ=10",96,0,7.4588,0.3592,7.8070,"c1ccc2c(c1)c(CNC13CC(C1)C3)cn2CC1CC1"
"BC-Enum-SB  λ=10",96,1,7.6378,0.4778,7.8070,"c1ccc2c(c1)CCN=C2c1ccc(-c2nnn(CC3CC3)n2)nc1"
"BC-Enum-SB  λ=10",96,2,7.7266,0.6923,7.8070,"c1ccc2c(c1)CCN=C2c1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=10",96,3,7.7082,0.6923,7.8070,"c1ccc2c(c1)CCN=C2c1ccc2nc(C3CNC3)oc2c1"
"BC-Enum-SB  λ=10",96,4,7.3040,0.4471,7.8070,"c1ccc2oc(-c3ccc4oc(C5CNC5)nc4c3)nc2c1"
"BC-Enum-SB  λ=10",96,5,7.4732,0.5714,7.8070,"CC(NCc1ccc(-c2nnn(CC3CC3)n2)nc1)c1ccccc1"
"BC-Enum-SB  λ=10",96,6,7.8337,0.5974,7.8070,"c1cc(-c2nnn(CC3CC3)n2)ncc1CNC12CC(C1)C2"
"BC-Enum-SB  λ=10",96,7,7.9224,0.5957,7.8070,"O=C1Cc2ccc(C(=O)Cn3cc(CNc4ccc(NCc5ccc(-c6nnn(CC7CC7)n6)nc5)cc4)c4ccccc43)cc2N1"
"BC-Enum-SB  λ=10",96,8,7.4082,0.6250,7.8070,"O=C(Nc1cccc2cc[nH]c12)c1ccc(-c2nnn(CC3CC3)n2)nc1"
"BC-Enum-SB  λ=10",96,9,7.5416,0.4778,7.8070,"c1ccc2oc(-c3ccc(-c4nnn(CC5CC5)n4)nc3)nc2c1"
"BC-Enum-SB  λ=10",96,10,7.7577,0.6211,7.8070,"O=C(Nc1ccnc2ccccc12)c1ccc(-c2nnn(CC3CC3)n2)nc1"
"BC-Enum-SB  λ=10",96,11,7.3734,0.6250,7.8070,"c1cc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c2[nH]ccc2c1"
"BC-Enum-SB  λ=10",96,12,7.8026,0.5957,7.8070,"O=c1cc(Cn2cc(CNc3ccc(NCc4ccc(-c5nnn(CC6CC6)n5)nc4)cc3)c3ccccc32)c2ccccc2[nH]1"
"BC-Enum-SB  λ=10",96,13,7.7183,0.6211,7.8070,"c1ccc2c(NCc3ccc(-c4nnn(CC5CC5)n4)nc3)ccnc2c1"
"BC-Enum-SB  λ=10",96,14,7.6528,0.6542,7.8070,"O=C(c1ccc(-c2nnn(CC3CC3)n2)nc1)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=10",96,15,7.1861,0.6282,7.8070,"Brc1ccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)cc1"
"BC-Enum-SB  λ=10",96,16,7.5284,0.6282,7.8070,"c1ccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)nc1"
"BC-Enum-SB  λ=10",96,17,7.5073,0.6107,7.8070,"O=C(Nc1cccc2cc[nH]c12)c1ccc2nc(C3CN(Cc4cn(CC5CC5)c5ccccc45)C3)oc2c1"
